Test unit,P#2
Reference,Marcari et al. (2007)
19.32,112.3,1.23
19.4,111.5,1.236
19.62,111.3,1.25
19.78,110.3,1.26
19.92,110,1.269
19.97,109.7,1.272
20.24,108.8,1.289
20.34,108.7,1.295
20.48,108.3,1.305
20.74,107.3,1.321
20.83,107.2,1.327
20.89,107.3,1.331
20.97,106.6,1.335
21.08,106.7,1.343
21.13,106.1,1.346
21.33,105.9,1.358
21.45,105.8,1.366
21.49,105.5,1.369
21.49,105.5,1.369
21.53,105.2,1.372
21.68,105.4,1.381
21.7,105,1.382
21.8,104.6,1.389
21.85,104.6,1.392
21.98,104.4,1.4
22,103.9,1.401
22.32,103,1.422
22.35,103,1.423
22.46,102.6,1.431
22.76,101.9,1.45
23.06,100.6,1.469
23.18,100.5,1.476
23.22,100.5,1.479
23.42,99.4,1.492
23.49,98.8,1.496
23.59,98.7,1.503
23.75,97.7,1.513
23.85,98,1.519
23.85,97.6,1.519
23.98,97.2,1.527
24.1,96.6,1.535
24.29,95.5,1.547
24.45,94,1.557
24.59,93.6,1.566
24.73,92.7,1.575
24.79,92.2,1.579
25,91.3,1.593
25,91.3,1.593
25.12,89.8,1.6
25.25,90.2,1.608
25.38,89.6,1.616
25.46,88.9,1.622
25.54,88.6,1.627
25.6,87.9,1.631
25.74,87.7,1.639
25.84,87,1.646
25.9,87,1.65
26.01,86,1.657
26.17,85.8,1.667
26.22,85.3,1.67
26.39,83.8,1.681
26.64,82.9,1.697
26.75,81.8,1.704
27.04,80.6,1.722
27.26,79.6,1.736
27.39,79.3,1.744
27.63,78.2,1.76
28.01,76.4,1.784
28.01,76.6,1.784
28.31,74.7,1.803
28.58,74,1.82
28.58,73.8,1.82
28.58,73.8,1.82
28.78,73,1.833
29.05,71.6,1.85
29.27,69.4,1.865
29.52,68.4,1.881
30.01,65.6,1.912
30.67,60.1,1.953
30.86,57.7,1.966
31.35,52.2,1.997
31.84,46.6,2.028
32.18,39.6,2.05
32.37,31.2,2.062
32.64,20.7,2.079
32.76,15.6,2.087
32.76,15.6,2.087
32.91,12,2.096
32.86,11.8,2.093
