Test unit,SW.250.1
Reference,Lourenço et al. (2005)
20.23,71.4,1.065
20.3,71.8,1.069
20.45,72,1.077
20.53,72.6,1.081
20.53,73.4,1.081
20.61,73.8,1.085
20.61,74.2,1.085
20.68,74.6,1.089
20.8,73.4,1.094
20.91,72.2,1.1
20.98,72.2,1.104
21.14,71.8,1.112
21.29,71.4,1.12
21.44,71.4,1.128
21.67,71.8,1.14
21.82,72.2,1.148
21.97,73,1.156
22.12,73.8,1.164
22.2,74.2,1.168
22.27,74.2,1.172
22.35,73.8,1.176
22.42,72.6,1.18
22.58,71.8,1.188
22.65,71.4,1.192
22.73,71.4,1.196
22.8,72.2,1.2
22.95,72.6,1.208
23.03,73,1.212
23.11,73,1.216
23.18,72.6,1.22
23.41,71.8,1.232
23.71,71,1.248
24.09,70.6,1.268
24.24,70.6,1.276
24.39,71,1.284
24.55,71.4,1.292
24.7,71.4,1.3
24.85,71,1.308
25.08,70.6,1.32
25.45,69.8,1.34
25.76,69,1.356
25.98,69,1.368
26.21,69,1.38
26.44,69.8,1.392
26.59,70.6,1.4
26.82,71.4,1.411
26.97,72.2,1.419
27.12,72.2,1.427
27.27,72.2,1.435
27.65,71.4,1.455
28.11,70.6,1.479
28.56,69.4,1.503
29.09,68.2,1.531
29.62,66.6,1.559
