Test unit,WS2.250
Reference,Vasconcelos and Lourenço (2009)
-2.52,-77.6,-0.19
-1.09,-61.6,-0.082
0.84,-30.6,0.063
1.94,-9.1,0.146
3.87,23.1,0.292
5.77,51,0.435
7.46,70.9,0.563
9.77,80.3,0.738
11.78,82.7,0.889
14.47,85,1.092
13.4,81.5,1.011
11.3,78.9,0.853
9.69,71.3,0.731
7.71,45.9,0.582
5.85,14.6,0.442
4.66,-6.6,0.352
3.92,-19.3,0.296
3.21,-32.2,0.242
1.54,-56.1,0.116
0.27,-69.9,0.021
-0.37,-76,-0.028
-0.54,-24.9,-0.04
-0.78,-79.9,-0.059
-2.46,-85.5,-0.186
-4.65,-88,-0.351
-7.08,-89.9,-0.534
-9.6,-91.5,-0.725
-12.08,-92.7,-0.912
-14.72,-93.3,-1.111
-15.22,-93.1,-1.148
NaN,NaN,NaN
-17.61,-93.1,-1.329
-15.29,-90.5,-1.154
-12.74,-88.9,-0.962
-10.19,-87.3,-0.769
-7.79,-85.5,-0.588
-5.57,-83.5,-0.42
-3.26,-80.2,-0.246
-1.86,-75,-0.14
0.89,-36.2,0.067
2.05,-16.6,0.155
2.93,5.4,0.221
2.93,15.9,0.221
3.01,1.4,0.227
3.8,15.6,0.287
4.7,28.5,0.355
5.86,44.6,0.442
7.88,70.4,0.594
10.6,81.1,0.8
12.94,83.7,0.977
16.67,86.6,1.258
16.47,84.3,1.243
13.9,81.5,1.049
11.09,77.7,0.837
8.93,56.7,0.674
7.57,36.2,0.571
6.82,23.8,0.515
5.57,0.5,0.42
4.74,-12.9,0.358
3.2,-40,0.241
1.96,-57,0.148
0.46,-72.9,0.035
-1.94,-84.4,-0.146
-4.08,-86.9,-0.308
-6.51,-89.2,-0.491
-8.7,-90.7,-0.657
-11.09,-91.9,-0.837
-13.4,-93.1,-1.011
-16.5,-93.7,-1.245
-17.69,-94.1,-1.335
NaN,NaN,NaN
-22.72,-94.5,-1.715
-20.66,-92.1,-1.559
-17.87,-91.2,-1.348
-15.22,-89.9,-1.148
-13.15,-88.9,-0.993
-10.43,-87.6,-0.787
-8.95,-86.9,-0.675
-6.46,-85.3,-0.487
-4.23,-83.6,-0.319
-2.34,-80.9,-0.176
-0.34,-72.6,-0.026
0.5,-62.1,0.038
1.28,-51.8,0.096
1.61,-45.8,0.121
2.69,-28.2,0.203
3.82,-7.1,0.289
5.77,24.9,0.435
7.66,51.6,0.578
8.58,62.5,0.647
10.27,75.9,0.775
12.33,81.5,0.931
14.49,84.1,1.094
16.95,86,1.279
20.21,86.7,1.525
21.93,86.9,1.655
18.27,83.1,1.379
15.72,81.3,1.187
13.4,78.5,1.011
11.63,70.5,0.878
9.74,49,0.735
8.29,24.8,0.626
7.32,8.8,0.553
5.84,-17.2,0.44
4.38,-42.1,0.331
1.67,-72.2,0.126
0.21,-82.6,0.016
-2.68,-86.7,-0.202
-4.58,-88.3,-0.345
-7.46,-90.4,-0.563
-9.89,-91.8,-0.747
-12.3,-92.7,-0.928
-14.96,-93.3,-1.129
-17.2,-93.7,-1.298
-20.18,-94,-1.523
-22.47,-94.4,-1.696
-22.68,-94.5,-1.712
-22.72,-94.5,-1.715
