Test unit,R5
Reference,Mazzon (2010)
0.4,11.7,0.028
0.4,10.8,0.028
0.4,9.9,0.028
0.4,9.3,0.028
0.4,8.9,0.028
0.4,8.5,0.028
0.4,8,0.028
0.41,7.3,0.029
0.41,6.7,0.028
0.39,6.3,0.028
0.39,5.8,0.027
0.39,5.1,0.027
0.38,4.3,0.027
0.38,3.7,0.027
0.38,3,0.026
0.38,2.4,0.026
0.37,1.7,0.026
0.36,0.9,0.025
0.36,0.5,0.025
0.35,0.4,0.025
0.35,0.5,0.025
0.35,0.6,0.025
0.35,0.4,0.025
0.36,0.2,0.025
0.37,-0.1,0.026
0.36,-0.2,0.025
0.35,-0.5,0.024
0.34,-0.9,0.024
0.34,-1,0.024
0.34,-1.1,0.024
0.33,-1.9,0.023
0.33,-3.1,0.023
0.32,-5.1,0.022
0.31,-7,0.022
0.3,-8,0.021
0.3,-8.5,0.021
0.3,-9.2,0.021
0.29,-10,0.02
0.29,-10.6,0.02
0.29,-11,0.02
0.3,-11.3,0.021
0.29,-11.7,0.02
0.28,-12.2,0.019
0.27,-12.7,0.019
0.26,-13.1,0.018
0.26,-13.2,0.018
0.26,-13.6,0.018
0.25,-14.5,0.018
0.24,-15.6,0.017
0.24,-16.4,0.017
0.23,-17,0.016
0.23,-17.3,0.016
0.23,-17.8,0.016
0.22,-18.9,0.016
0.22,-20.4,0.015
0.21,-21.2,0.015
0.21,-21.2,0.015
0.22,-20.9,0.016
0.21,-20.6,0.015
0.21,-20.9,0.014
0.19,-21.9,0.013
0.18,-22.6,0.013
0.18,-23.2,0.012
0.17,-24,0.012
0.16,-25.7,0.011
0.15,-26.7,0.01
0.15,-27,0.01
0.14,-26.7,0.01
0.14,-25.9,0.01
0.14,-25.5,0.01
0.14,-26.2,0.01
0.13,-27.9,0.009
0.12,-29.1,0.008
0.12,-29.2,0.009
0.13,-29.3,0.009
0.11,-30,0.008
0.1,-30.8,0.007
0.09,-30.8,0.006
0.09,-30.6,0.006
0.08,-30.7,0.006
0.07,-31.5,0.005
0.06,-32.2,0.005
0.06,-32.7,0.004
0.05,-33.1,0.004
0.05,-33.5,0.003
0.04,-34.3,0.003
0.03,-35.1,0.002
0.02,-35.4,0.001
0.02,-35.4,0.001
0.02,-35.1,0.001
0.03,-34.7,0.002
0.03,-34.6,0.002
0.01,-35.1,0.001
-0.01,-36,-0
-0.02,-36.4,-0.001
-0.02,-36.9,-0.002
-0.03,-37.4,-0.002
-0.04,-38.1,-0.003
-0.05,-38.8,-0.003
-0.05,-38.9,-0.004
-0.06,-39,-0.004
-0.07,-39.6,-0.005
-0.08,-40.5,-0.005
-0.08,-40.8,-0.006
-0.09,-40.8,-0.006
-0.09,-40.9,-0.006
-0.08,-40.6,-0.006
-0.08,-40.5,-0.005
-0.1,-40.3,-0.007
-0.11,-40.7,-0.008
-0.12,-40.8,-0.008
-0.12,-40.8,-0.009
-0.13,-41.5,-0.009
-0.14,-42.1,-0.01
-0.14,-42.5,-0.01
-0.14,-42.4,-0.01
-0.15,-42.4,-0.01
-0.15,-42.7,-0.011
-0.16,-42.8,-0.011
-0.16,-43.3,-0.011
-0.17,-44.2,-0.012
-0.18,-44.8,-0.013
-0.19,-44.8,-0.013
-0.18,-45,-0.013
-0.18,-45.1,-0.013
-0.19,-45,-0.014
-0.2,-45.1,-0.014
-0.21,-44.9,-0.015
-0.22,-44.2,-0.015
-0.22,-44,-0.015
-0.22,-44.5,-0.015
-0.23,-45.5,-0.016
-0.23,-46.3,-0.016
-0.24,-46.6,-0.017
-0.24,-46.8,-0.017
-0.25,-46.8,-0.017
-0.25,-46.4,-0.017
-0.25,-46.2,-0.017
-0.25,-46.2,-0.018
-0.26,-46.7,-0.018
-0.25,-46.8,-0.017
-0.25,-46.8,-0.018
-0.27,-47,-0.019
-0.28,-47.5,-0.019
-0.29,-47.9,-0.02
-0.29,-48,-0.021
-0.29,-47.7,-0.02
-0.29,-47.3,-0.021
-0.3,-46.9,-0.021
-0.3,-46.7,-0.021
-0.3,-46.8,-0.021
-0.3,-47.2,-0.021
-0.31,-47.7,-0.021
-0.31,-47.8,-0.022
-0.31,-47.8,-0.022
-0.31,-47.8,-0.022
-0.3,-47.8,-0.021
-0.3,-47.9,-0.021
-0.31,-47.6,-0.022
-0.32,-47.2,-0.023
-0.33,-46.3,-0.023
-0.33,-45.4,-0.023
-0.33,-45.3,-0.023
-0.33,-45.4,-0.023
-0.33,-45.9,-0.023
-0.33,-47,-0.023
-0.34,-47.8,-0.023
-0.34,-47.8,-0.024
-0.34,-46.5,-0.024
-0.34,-45.1,-0.024
-0.35,-44.2,-0.024
-0.35,-43.6,-0.024
-0.35,-43.4,-0.024
-0.34,-43.2,-0.023
-0.34,-43.1,-0.024
-0.35,-42.8,-0.024
-0.35,-42.5,-0.025
-0.35,-42.6,-0.025
-0.36,-42.9,-0.025
-0.35,-43.7,-0.025
-0.35,-43.7,-0.025
-0.35,-43.5,-0.025
-0.35,-43.4,-0.025
-0.35,-43.1,-0.025
-0.35,-43.1,-0.025
-0.35,-43.1,-0.025
-0.35,-43.2,-0.025
-0.35,-43.4,-0.024
-0.35,-43.8,-0.024
-0.34,-43.8,-0.024
-0.33,-43.5,-0.023
-0.34,-42.7,-0.024
-0.35,-41.8,-0.024
-0.36,-40.9,-0.025
-0.36,-39.7,-0.025
-0.36,-38.8,-0.025
-0.36,-38,-0.025
-0.36,-37.2,-0.025
-0.36,-36.3,-0.025
-0.36,-35.1,-0.025
-0.36,-33.6,-0.025
-0.36,-32.1,-0.025
-0.36,-30.7,-0.025
-0.35,-29.6,-0.025
-0.35,-28.8,-0.025
-0.35,-28.2,-0.024
-0.33,-27.9,-0.023
-0.33,-28,-0.023
-0.33,-28.1,-0.023
-0.34,-27.9,-0.024
-0.34,-27,-0.024
-0.34,-25.8,-0.024
-0.33,-25.1,-0.023
-0.33,-24.8,-0.023
-0.33,-24.7,-0.023
-0.32,-24.4,-0.022
-0.32,-23.9,-0.022
-0.31,-23.8,-0.022
-0.31,-23.6,-0.022
-0.31,-23.1,-0.022
-0.3,-22.7,-0.021
-0.3,-22.3,-0.021
-0.3,-22,-0.021
-0.28,-21.6,-0.02
-0.28,-20.8,-0.02
-0.28,-19.7,-0.02
-0.28,-18.9,-0.02
-0.28,-18.5,-0.019
-0.28,-18.1,-0.019
-0.27,-17.5,-0.019
-0.27,-17.3,-0.019
-0.27,-17,-0.019
-0.26,-16.6,-0.018
-0.26,-15.9,-0.018
-0.25,-15.2,-0.017
-0.25,-14.9,-0.017
-0.24,-14.4,-0.017
-0.23,-14,-0.016
-0.23,-13.4,-0.016
-0.22,-12.6,-0.015
-0.2,-12,-0.014
-0.2,-11.2,-0.014
-0.2,-10.4,-0.014
-0.2,-9.8,-0.014
-0.2,-9.5,-0.014
-0.2,-9.2,-0.014
-0.2,-8.7,-0.014
-0.19,-7.8,-0.013
-0.19,-7.1,-0.013
-0.19,-6.3,-0.013
-0.18,-5.8,-0.013
-0.18,-5.4,-0.013
-0.17,-5.1,-0.012
-0.17,-4.8,-0.012
-0.16,-4.3,-0.011
-0.16,-3.7,-0.011
-0.14,-3.1,-0.01
-0.13,-2.4,-0.009
-0.14,-1.8,-0.009
-0.14,-1.4,-0.01
-0.14,-0.8,-0.01
-0.14,-0.2,-0.01
-0.13,0.6,-0.009
-0.13,1.4,-0.009
-0.12,1.8,-0.009
-0.12,2.1,-0.008
-0.12,2.4,-0.008
-0.12,2.5,-0.008
-0.12,2.7,-0.008
-0.11,3.4,-0.008
-0.11,3.8,-0.007
-0.1,3.9,-0.007
-0.09,4.6,-0.007
-0.07,5.8,-0.005
-0.07,7,-0.005
-0.06,8.3,-0.004
-0.05,9.7,-0.004
-0.05,10.6,-0.003
-0.04,10.8,-0.003
-0.04,10.9,-0.003
-0.03,11,-0.002
-0.03,11.5,-0.002
-0.02,12.5,-0.002
-0.01,13.3,-0.001
-0.01,14.1,-0
0,14.8,0
0.01,15.2,0
0.01,15.6,0.001
0.02,16,0.001
0.03,16.2,0.002
0.04,16.7,0.003
0.04,17.2,0.003
0.04,17.8,0.003
0.04,18.4,0.003
0.05,18.9,0.003
0.06,19.6,0.004
0.06,20.3,0.004
0.07,21,0.005
0.08,21.6,0.006
0.09,22,0.006
0.09,22.3,0.006
0.1,23,0.007
0.1,23.6,0.007
0.11,24.2,0.008
0.12,25,0.008
0.12,25.5,0.009
0.14,25.9,0.01
0.15,26.2,0.01
0.15,26.3,0.01
0.14,26.1,0.01
0.14,26,0.01
0.14,26.7,0.01
0.15,27.5,0.011
0.16,28.2,0.011
0.16,28.8,0.012
0.17,28.9,0.012
0.17,29.2,0.012
0.18,29.6,0.012
0.18,30.2,0.013
0.19,30.5,0.013
0.19,30.7,0.013
0.2,31.1,0.014
0.21,31.5,0.014
0.23,32,0.016
0.23,32.4,0.016
0.22,32.5,0.015
0.22,32.6,0.015
0.22,32.6,0.015
0.22,32.5,0.015
0.22,32.5,0.016
0.23,32.8,0.016
0.23,33.2,0.016
0.23,33.5,0.016
0.24,33.6,0.016
0.24,33.9,0.017
0.24,34.3,0.017
0.25,34.7,0.017
0.25,35.1,0.018
0.26,35.2,0.018
0.27,34.8,0.019
0.27,34.3,0.019
0.27,34.4,0.019
0.27,35.2,0.019
0.27,35.9,0.019
0.27,36,0.019
0.27,35.9,0.019
0.28,35.7,0.019
0.28,35.5,0.02
0.28,35.7,0.02
0.29,36.4,0.02
0.3,37,0.021
0.3,37.1,0.021
0.3,36.9,0.021
0.3,36.7,0.021
0.3,36.4,0.021
0.3,36.2,0.021
0.32,36.1,0.022
0.32,36.2,0.022
0.32,36.7,0.022
0.32,36.8,0.022
0.31,36.6,0.022
0.31,36.2,0.022
0.31,35.8,0.022
0.31,35.8,0.022
0.32,36.4,0.022
0.32,36.9,0.022
0.32,37.2,0.023
0.33,37.4,0.023
0.33,37.2,0.023
0.33,36.3,0.023
0.33,35.4,0.023
0.33,35.1,0.023
0.34,35,0.024
0.35,35,0.024
0.34,35.2,0.024
0.33,35.5,0.023
0.33,35.8,0.023
0.33,35.9,0.023
0.32,35.9,0.023
0.33,35.8,0.023
0.33,35.5,0.023
0.33,35.1,0.023
0.33,34.7,0.023
0.33,34.2,0.023
0.33,33.8,0.023
0.33,33.3,0.023
0.34,33,0.023
0.34,32.9,0.023
0.34,32.8,0.024
0.35,32.8,0.024
0.35,32.8,0.025
0.34,32.6,0.024
0.34,31.9,0.024
0.34,30.9,0.024
0.34,30,0.024
0.34,29.1,0.024
0.34,27.8,0.024
0.35,26.1,0.025
0.35,24,0.025
0.35,22.3,0.025
0.35,21.1,0.024
0.35,20.3,0.024
0.35,20,0.024
0.35,19.5,0.024
0.35,19,0.024
0.35,18.3,0.025
0.36,17.3,0.025
0.35,16.7,0.025
0.35,16.4,0.024
0.34,16.1,0.024
0.34,15.7,0.024
0.34,14.7,0.024
0.34,13.8,0.024
0.33,13.1,0.023
0.33,12.4,0.023
0.33,11.8,0.023
0.32,11.3,0.023
0.32,11,0.023
0.32,10.7,0.022
0.32,10.6,0.022
0.32,10.4,0.022
0.31,9.8,0.022
0.32,9.2,0.022
0.32,8.5,0.023
0.31,7.9,0.022
0.3,7.3,0.021
0.3,6.7,0.021
0.29,6.1,0.02
0.28,5.4,0.02
0.28,5,0.02
0.28,4.5,0.02
0.27,3.7,0.019
0.27,3.2,0.019
0.27,3,0.019
0.27,2.8,0.019
0.27,2.5,0.019
0.26,2.1,0.018
0.26,1.8,0.018
0.26,1.2,0.018
0.26,0.5,0.018
0.26,0.1,0.018
0.25,0,0.018
0.24,-0,0.017
0.24,-0.3,0.017
0.23,-0.5,0.016
0.23,-0.6,0.016
0.23,-0.6,0.016
0.23,-0.8,0.016
0.23,-1.3,0.016
0.22,-2.6,0.015
0.2,-5.1,0.014
0.18,-7.7,0.013
0.17,-8.8,0.012
0.17,-9,0.012
0.17,-9.2,0.012
0.17,-9.5,0.012
0.18,-10.2,0.012
0.17,-11.1,0.012
0.15,-11.8,0.011
0.14,-12.4,0.01
0.13,-13.2,0.009
0.12,-14,0.009
0.12,-14.8,0.008
0.11,-15.4,0.007
0.1,-16,0.007
0.09,-16.7,0.007
0.09,-17.3,0.006
0.09,-18,0.006
0.08,-18.4,0.006
0.08,-18.7,0.006
0.08,-19.2,0.005
0.07,-19.9,0.005
0.07,-20.7,0.005
0.07,-21.5,0.005
0.06,-22.3,0.004
0.04,-22.9,0.003
0.04,-23.1,0.003
0.03,-23.4,0.002
0.02,-23.9,0.002
0.02,-24.2,0.002
0.02,-25,0.001
0.01,-26.1,0.001
-0,-27.2,-0
-0.01,-28.1,-0.001
-0.02,-28.7,-0.001
-0.02,-28.9,-0.001
-0.02,-29,-0.002
-0.03,-29.3,-0.002
-0.03,-29.8,-0.002
-0.02,-30.4,-0.002
-0.03,-31.1,-0.002
-0.04,-31.8,-0.003
-0.05,-32.4,-0.004
-0.06,-32.7,-0.004
-0.07,-33,-0.005
-0.07,-33.4,-0.005
-0.07,-33.8,-0.005
-0.08,-34.2,-0.005
-0.09,-34.8,-0.006
-0.09,-35.6,-0.006
-0.1,-36.2,-0.007
-0.1,-36.8,-0.007
-0.11,-37.4,-0.008
-0.12,-37.9,-0.008
-0.13,-38.6,-0.009
-0.13,-39,-0.009
-0.12,-39.1,-0.008
-0.12,-39.3,-0.009
-0.13,-39.8,-0.009
-0.14,-40.4,-0.01
-0.14,-40.8,-0.01
-0.15,-40.9,-0.01
-0.15,-41.5,-0.011
-0.16,-42.2,-0.011
-0.17,-43,-0.012
-0.17,-43.4,-0.012
-0.18,-43.6,-0.012
-0.18,-43.4,-0.012
-0.18,-43.4,-0.012
-0.19,-44.2,-0.013
-0.2,-45.2,-0.014
-0.2,-45.9,-0.014
-0.19,-46,-0.014
-0.2,-46.1,-0.014
-0.21,-46.2,-0.015
-0.22,-46.6,-0.015
-0.23,-47,-0.016
-0.23,-47,-0.016
-0.23,-47.5,-0.016
-0.24,-48.1,-0.017
-0.24,-48.5,-0.017
-0.25,-48.5,-0.017
-0.25,-48.4,-0.017
-0.25,-48.5,-0.017
-0.26,-49,-0.018
-0.26,-49.3,-0.018
-0.26,-49.4,-0.018
-0.26,-49.5,-0.018
-0.27,-49.6,-0.019
-0.26,-50,-0.018
-0.27,-50.3,-0.019
-0.28,-50.6,-0.019
-0.29,-51,-0.02
-0.29,-51.1,-0.021
-0.3,-50.8,-0.021
-0.3,-50.7,-0.021
-0.3,-51.1,-0.021
-0.31,-51.7,-0.022
-0.31,-52,-0.022
-0.32,-52,-0.022
-0.32,-51.7,-0.022
-0.32,-51.6,-0.022
-0.32,-51.7,-0.022
-0.32,-52.2,-0.023
-0.33,-52.5,-0.023
-0.32,-52.7,-0.023
-0.32,-52.6,-0.022
-0.32,-52.3,-0.023
-0.33,-52.2,-0.023
-0.34,-52.2,-0.024
-0.35,-52,-0.024
-0.35,-51.9,-0.025
-0.35,-51.6,-0.024
-0.35,-51.3,-0.024
-0.35,-51.4,-0.024
-0.35,-52,-0.025
-0.36,-52.4,-0.025
-0.36,-52.4,-0.025
-0.36,-52.4,-0.025
-0.36,-52.4,-0.025
-0.36,-52.3,-0.025
-0.36,-52.1,-0.025
-0.35,-52,-0.024
-0.35,-52.2,-0.025
-0.36,-52.7,-0.025
-0.37,-52.6,-0.026
-0.37,-51.5,-0.026
-0.38,-50.1,-0.026
-0.38,-49.4,-0.027
-0.38,-48.9,-0.027
-0.38,-48.5,-0.027
-0.38,-48.3,-0.027
-0.38,-48.3,-0.027
-0.38,-48.3,-0.027
-0.38,-47.7,-0.027
-0.38,-46.6,-0.027
-0.38,-45.8,-0.027
-0.38,-45.2,-0.027
-0.38,-45.3,-0.027
-0.37,-45.4,-0.026
-0.37,-45,-0.026
-0.38,-44.4,-0.027
-0.39,-43.9,-0.027
-0.39,-43.7,-0.027
-0.39,-43.6,-0.027
-0.39,-43.6,-0.027
-0.39,-43.4,-0.027
-0.39,-43.3,-0.027
-0.39,-42.9,-0.027
-0.39,-42,-0.027
-0.39,-41.1,-0.027
-0.39,-40.4,-0.027
-0.39,-39.5,-0.027
-0.39,-38.7,-0.027
-0.39,-37.7,-0.027
-0.38,-36.6,-0.026
-0.37,-36,-0.026
-0.37,-35.6,-0.026
-0.38,-35.1,-0.026
-0.37,-34.7,-0.026
-0.38,-34.8,-0.026
-0.38,-35.7,-0.026
-0.37,-36.2,-0.026
-0.37,-36,-0.026
-0.37,-34.9,-0.026
-0.37,-33.5,-0.026
-0.37,-32.5,-0.026
-0.36,-32.1,-0.025
-0.36,-32.2,-0.025
-0.36,-32.1,-0.025
-0.36,-31.5,-0.025
-0.36,-30.9,-0.025
-0.35,-30.5,-0.024
-0.34,-29.6,-0.024
-0.34,-29.2,-0.024
-0.35,-29.2,-0.024
-0.35,-29.2,-0.024
-0.35,-28.7,-0.024
-0.34,-27.8,-0.024
-0.33,-27.1,-0.023
-0.33,-26.4,-0.023
-0.32,-26.2,-0.023
-0.32,-26.2,-0.023
-0.32,-25.6,-0.022
-0.32,-24.6,-0.022
-0.31,-23.8,-0.022
-0.31,-23.3,-0.021
-0.3,-23,-0.021
-0.29,-22.8,-0.02
-0.28,-22.7,-0.02
-0.28,-22.3,-0.02
-0.28,-21.3,-0.02
-0.28,-20.3,-0.02
-0.28,-19.4,-0.02
-0.28,-19,-0.019
-0.27,-18.6,-0.019
-0.27,-18.4,-0.019
-0.26,-17.8,-0.018
-0.25,-17.1,-0.018
-0.25,-16.4,-0.017
-0.24,-15.8,-0.017
-0.23,-15.1,-0.016
-0.23,-14.5,-0.016
-0.23,-14,-0.016
-0.22,-13.6,-0.015
-0.2,-13.4,-0.014
-0.2,-12.9,-0.014
-0.2,-12.2,-0.014
-0.2,-11.5,-0.014
-0.19,-10.7,-0.013
-0.19,-9.9,-0.013
-0.18,-9.3,-0.013
-0.17,-8.6,-0.012
-0.17,-8,-0.012
-0.16,-7.5,-0.011
-0.16,-7.1,-0.011
-0.15,-6.5,-0.011
-0.14,-5.6,-0.01
-0.13,-4.8,-0.009
-0.13,-4.3,-0.009
-0.12,-3.9,-0.009
-0.12,-3.4,-0.008
-0.1,-3.1,-0.007
-0.1,-2.7,-0.007
-0.1,-1.9,-0.007
-0.1,-1.3,-0.007
-0.1,-0.9,-0.007
-0.1,-0.5,-0.007
-0.09,0.1,-0.006
-0.09,0.8,-0.006
-0.08,1.4,-0.006
-0.07,1.7,-0.005
-0.07,2,-0.005
-0.07,2.2,-0.005
-0.07,2.3,-0.005
-0.06,2.6,-0.004
-0.05,3.4,-0.004
-0.05,3.5,-0.003
-0.04,4,-0.003
-0.02,5.2,-0.001
-0.01,6.5,-0.001
-0.01,8.2,-0.001
0,9.9,0
0.01,10.9,0
0.01,11.2,0.001
0.02,11.2,0.001
0.02,11,0.001
0.02,10.8,0.001
0.02,11.2,0.001
0.03,12.5,0.002
0.04,13.6,0.003
0.05,14.5,0.003
0.05,15,0.004
0.06,15.4,0.004
0.06,16.1,0.004
0.08,16.9,0.006
0.09,17.5,0.006
0.09,17.9,0.006
0.09,18.3,0.006
0.09,18.9,0.006
0.09,19.6,0.007
0.1,20.3,0.007
0.11,21,0.008
0.11,21.1,0.008
0.12,21.3,0.008
0.12,21.9,0.008
0.13,22.7,0.009
0.13,23.6,0.009
0.14,23.9,0.01
0.14,23.9,0.01
0.14,24.1,0.01
0.15,24.6,0.011
0.17,25.7,0.012
0.18,26.5,0.012
0.17,26.7,0.012
0.17,26.7,0.012
0.17,27,0.012
0.17,27.6,0.012
0.18,28.2,0.013
0.19,28.6,0.013
0.19,28.9,0.013
0.19,29.3,0.014
0.2,29.7,0.014
0.2,30,0.014
0.2,30.1,0.014
0.21,30.6,0.015
0.22,31.2,0.015
0.22,31.2,0.015
0.23,31.2,0.016
0.24,31.6,0.017
0.24,32.5,0.017
0.23,32.8,0.016
0.23,32.7,0.016
0.23,32.5,0.016
0.23,32.8,0.016
0.24,33.7,0.017
0.25,34.1,0.017
0.25,34,0.018
0.25,33.8,0.018
0.25,33.7,0.018
0.26,34.3,0.018
0.26,35,0.018
0.26,35,0.018
0.26,34.9,0.018
0.26,34.8,0.018
0.28,35.3,0.019
0.29,35.9,0.02
0.28,36.1,0.02
0.27,36,0.019
0.27,36.2,0.019
0.27,36.3,0.019
0.28,36.6,0.019
0.28,36.6,0.02
0.28,36.4,0.02
0.28,36.2,0.02
0.28,36.1,0.02
0.28,36.1,0.02
0.29,36.9,0.02
0.3,37,0.021
0.3,36.5,0.021
0.3,35.6,0.021
0.3,35.5,0.021
0.31,35.5,0.022
0.31,35.5,0.022
0.3,35.3,0.021
0.3,35.3,0.021
0.29,35.6,0.021
0.3,36.7,0.021
0.3,37.2,0.021
0.3,36.9,0.021
0.3,36.6,0.021
0.3,36.2,0.021
0.3,36,0.021
0.3,35.7,0.021
0.3,35.6,0.021
0.31,35.5,0.021
0.31,35.4,0.021
0.31,35.3,0.021
0.32,35.3,0.022
0.32,35.1,0.023
0.32,34.7,0.022
0.31,34.5,0.022
0.31,34.4,0.021
0.3,34.3,0.021
0.3,34,0.021
0.31,33.6,0.021
0.31,32.7,0.022
0.31,31.7,0.022
0.32,30.6,0.022
0.33,29.6,0.023
0.33,28.1,0.023
0.33,26,0.023
0.33,24.1,0.023
0.33,23.1,0.023
0.33,22.1,0.023
0.34,21.2,0.024
0.34,20.3,0.024
0.33,19.7,0.023
0.33,19.2,0.023
0.32,18.7,0.023
0.32,17.6,0.022
0.32,16.4,0.022
0.31,15.9,0.022
0.31,16,0.022
0.31,16.2,0.022
0.31,15.9,0.022
0.31,15.1,0.022
0.31,14.2,0.022
0.31,13.8,0.021
0.31,13.3,0.021
0.31,12.4,0.021
0.31,11.6,0.021
0.32,11.2,0.022
0.31,11,0.022
0.3,10.9,0.021
0.29,10.3,0.02
0.28,9.4,0.02
0.27,8.7,0.019
0.27,8.5,0.019
0.27,8.4,0.019
0.27,8,0.019
0.27,7.3,0.019
0.26,6.6,0.018
0.26,6.2,0.018
0.26,5.9,0.018
0.25,5.1,0.017
0.25,4.5,0.017
0.24,4,0.017
0.25,3.8,0.018
0.26,3.3,0.018
0.24,2.7,0.017
0.23,2.3,0.016
0.23,2,0.016
0.22,1.5,0.016
0.22,0.9,0.015
0.22,0.4,0.015
0.22,0.2,0.015
0.21,0.1,0.015
0.21,0,0.015
0.21,-0.3,0.014
0.21,-0.4,0.014
0.2,-0.5,0.014
0.2,-0.5,0.014
0.2,-0.8,0.014
0.2,-1.6,0.014
0.2,-3.5,0.014
0.18,-6.3,0.012
0.16,-8.1,0.011
0.15,-8.7,0.01
0.14,-9,0.01
0.14,-9.6,0.009
0.13,-10.2,0.009
0.13,-10.8,0.009
0.12,-11.6,0.008
0.11,-12.4,0.008
0.11,-13.2,0.008
0.1,-13.6,0.007
0.1,-14.4,0.007
0.1,-15.3,0.007
0.09,-16.2,0.006
0.08,-16.6,0.006
0.09,-16.9,0.006
0.09,-17.5,0.006
0.08,-18.4,0.005
0.06,-18.9,0.004
0.06,-18.9,0.004
0.05,-19.1,0.004
0.05,-19.7,0.003
0.04,-20.7,0.003
0.03,-21.5,0.002
0.03,-22.1,0.002
0.02,-22.8,0.002
0.01,-23.7,0.001
0.01,-24.2,0
0,-24.6,0
-0,-24.9,-0
-0.01,-25.5,-0.001
-0.02,-26.4,-0.001
-0.02,-27.2,-0.001
-0.02,-27.8,-0.001
