Test unit,WR2.250
Reference,Vasconcelos and Lourenço (2009)
-6.92,-78,-0.522
-7,-78.3,-0.528
-7.11,-78.4,-0.536
-7.17,-78.9,-0.541
-7.42,-78.9,-0.56
-7.59,-80,-0.573
-7.76,-79.7,-0.585
-7.84,-80,-0.592
-7.96,-80.1,-0.601
-8.01,-80.3,-0.604
-8.09,-79.7,-0.611
-8.01,-76.1,-0.604
-7.51,-71,-0.567
-6.51,-60.9,-0.491
-5.91,-55,-0.446
-5.33,-47.3,-0.402
-4.91,-41.5,-0.37
-4.3,-33.7,-0.324
-3.32,-18.7,-0.251
-2.64,-9.2,-0.199
-2.09,-4.6,-0.158
-2.05,-0.7,-0.155
-1.79,3.3,-0.135
-1.09,13.4,-0.082
-0.29,25.1,-0.022
-0.11,28.6,-0.009
0.84,39.9,0.063
1.57,47.1,0.118
1.97,49,0.149
2.43,55.5,0.184
2.75,57.9,0.208
3.23,61.5,0.244
3.6,63.2,0.272
4.23,65.1,0.32
4.98,69.4,0.376
5.74,71,0.434
6.07,66,0.458
6.33,59.7,0.478
7.09,63.8,0.535
8,65.3,0.604
8.18,61.2,0.617
7.25,52.2,0.547
6.83,49.6,0.516
5.68,39.7,0.429
5.28,35.1,0.398
4.66,29,0.351
3.82,19.5,0.288
3.14,11.2,0.237
2.58,4.4,0.195
2.31,-1.5,0.174
1.97,-3.6,0.149
1.47,-11.1,0.111
0.76,-20.9,0.057
0.29,-28.3,0.022
-0.38,-35.3,-0.028
-1.21,-44.1,-0.091
-2.56,-56.4,-0.193
-3.06,-60.6,-0.231
-3.82,-65.4,-0.288
-4.4,-69.9,-0.332
-5.07,-72.2,-0.383
-6.13,-74.7,-0.463
-6.79,-72.2,-0.513
-7.92,-74.1,-0.598
-8.09,-74.6,-0.611
-8.26,-74.6,-0.623
-8.53,-75.9,-0.644
-8.68,-76.4,-0.655
-9.01,-76.4,-0.68
-9.18,-77,-0.693
-9.18,-76.7,-0.693
-9.27,-77.7,-0.699
-9.38,-77.8,-0.708
-9.49,-78,-0.716
-9.61,-78.1,-0.726
-9.77,-78.6,-0.737
-9.94,-78.6,-0.75
-9.94,-78.9,-0.75
-10.11,-78.9,-0.763
-10.36,-79.7,-0.782
-10.47,-79.5,-0.791
-10.55,-79.4,-0.796
-10.7,-80,-0.808
-10.86,-80.3,-0.82
NaN,NaN,NaN
-10.94,-80,-0.826
-10.87,-76.6,-0.82
-10.37,-72.3,-0.783
-9.57,-66.9,-0.722
-9.07,-62.9,-0.685
-8.18,-56.4,-0.617
-7.17,-47.5,-0.541
-6.15,-37.7,-0.464
-5.09,-27,-0.384
-4.64,-21.5,-0.35
-4.04,-15.6,-0.305
-3.36,-11.8,-0.253
-3.21,-6.6,-0.243
-2.73,-0.2,-0.206
-2.05,5,-0.155
-1.76,9.8,-0.133
-1.19,14.2,-0.09
-0.21,21.8,-0.016
0.16,24.4,0.012
1.05,31.6,0.079
1.72,36.1,0.13
2.42,40.1,0.182
3.4,43.2,0.256
4.13,46,0.312
4.92,49,0.371
5.32,47.4,0.402
5.91,49.9,0.446
