Test unit,P#2
Reference,Marcari et al. (2007)
19.32,112.3,1.017
19.4,111.5,1.021
19.62,111.3,1.033
19.78,110.3,1.041
19.92,110,1.048
19.97,109.7,1.051
20.24,108.8,1.065
20.34,108.7,1.07
20.48,108.3,1.078
20.74,107.3,1.091
20.83,107.2,1.096
20.89,107.3,1.099
20.97,106.6,1.104
21.08,106.7,1.109
21.13,106.1,1.112
21.33,105.9,1.122
21.45,105.8,1.129
21.49,105.5,1.131
21.49,105.5,1.131
21.53,105.2,1.133
21.68,105.4,1.141
21.7,105,1.142
21.8,104.6,1.147
21.85,104.6,1.15
21.98,104.4,1.157
22,103.9,1.158
22.32,103,1.175
22.35,103,1.176
22.46,102.6,1.182
22.76,101.9,1.198
23.06,100.6,1.214
23.18,100.5,1.22
23.22,100.5,1.222
23.42,99.4,1.233
23.49,98.8,1.236
23.59,98.7,1.242
23.75,97.7,1.25
23.85,98,1.255
23.85,97.6,1.255
23.98,97.2,1.262
24.1,96.6,1.268
24.29,95.5,1.278
24.45,94,1.287
24.59,93.6,1.294
24.73,92.7,1.302
24.79,92.2,1.305
25,91.3,1.316
25,91.3,1.316
25.12,89.8,1.322
25.25,90.2,1.329
25.38,89.6,1.336
25.46,88.9,1.34
25.54,88.6,1.344
25.6,87.9,1.347
25.74,87.7,1.355
25.84,87,1.36
25.9,87,1.363
26.01,86,1.369
26.17,85.8,1.377
26.22,85.3,1.38
26.39,83.8,1.389
26.64,82.9,1.402
26.75,81.8,1.408
27.04,80.6,1.423
27.26,79.6,1.435
27.39,79.3,1.441
27.63,78.2,1.454
28.01,76.4,1.474
28.01,76.6,1.474
28.31,74.7,1.49
28.58,74,1.504
28.58,73.8,1.504
28.58,73.8,1.504
28.78,73,1.515
29.05,71.6,1.529
29.27,69.4,1.541
29.52,68.4,1.554
30.01,65.6,1.58
30.67,60.1,1.614
30.86,57.7,1.624
31.35,52.2,1.65
31.84,46.6,1.676
32.18,39.6,1.694
32.37,31.2,1.703
32.64,20.7,1.718
32.76,15.6,1.724
32.76,15.6,1.724
32.91,12,1.732
32.86,11.8,1.729
