Test unit,E2
Reference,Silva et al. (2014)
0.11,9.5,0.01
0.12,10.5,0.011
0.15,11.3,0.013
0.18,12.1,0.015
0.18,13,0.016
0.2,13.9,0.017
0.23,14.8,0.02
0.25,15.6,0.022
0.27,16.5,0.023
0.28,17.4,0.024
0.31,18.1,0.027
0.32,19,0.028
0.36,19.6,0.032
0.38,20.5,0.033
0.4,21.2,0.035
0.41,20.2,0.036
0.43,19.3,0.037
0.43,18.3,0.038
0.44,30.1,0.039
0.46,30.4,0.04
0.49,29.6,0.042
0.49,31.7,0.043
0.5,27.8,0.044
0.52,27.9,0.045
0.55,31.9,0.048
0.57,31,0.05
0.6,36.5,0.052
0.64,37.2,0.056
0.66,38.2,0.057
0.69,39,0.06
0.74,39.2,0.064
0.77,40,0.067
0.78,40.9,0.068
0.83,41.4,0.072
0.87,41.9,0.076
0.91,42.7,0.079
0.92,42.7,0.08
0.95,41.9,0.082
0.97,42.9,0.085
0.99,42,0.086
1,40,0.087
1.02,43.3,0.089
1.03,44.5,0.09
1.05,43.6,0.092
1.07,43.4,0.093
1.08,41.5,0.094
1.09,44.8,0.095
1.11,45.7,0.096
1.13,46.6,0.099
1.18,47.1,0.103
1.23,47.5,0.107
1.26,48.3,0.11
1.32,48.8,0.115
1.36,49.4,0.118
1.41,49.9,0.123
1.46,50.3,0.127
1.5,51,0.131
1.54,50.2,0.134
1.55,48.1,0.135
1.57,50.6,0.137
1.58,47.5,0.138
1.59,49.9,0.139
1.64,50.6,0.142
1.67,51.3,0.146
1.73,51.7,0.15
1.77,52.4,0.154
1.82,52.9,0.158
1.86,53.5,0.162
1.92,53.6,0.167
1.97,54.1,0.171
2.02,54.6,0.176
2.04,53.7,0.177
2.06,52.7,0.179
2.07,51.7,0.18
2.08,50.8,0.181
2.09,51.2,0.182
2.13,54.6,0.185
2.19,55.2,0.191
2.25,55.7,0.196
2.31,56.2,0.201
2.38,56.3,0.207
2.45,56.9,0.213
2.51,56.6,0.219
2.56,55.7,0.223
2.58,54,0.224
2.58,52.1,0.225
2.6,51.1,0.226
2.64,53.9,0.23
2.71,54.4,0.236
2.77,55.1,0.241
2.83,55.5,0.246
2.9,55.9,0.252
2.96,56.3,0.258
3.02,55.8,0.263
3.07,55,0.267
3.08,54,0.268
3.09,52,0.269
3.15,55.4,0.274
3.21,56,0.279
3.27,56.5,0.285
3.33,57,0.29
3.4,57.7,0.296
3.48,57.6,0.302
3.54,58.3,0.308
3.61,58.3,0.314
3.67,58.8,0.319
3.74,59.2,0.325
3.82,59.1,0.332
3.88,59.5,0.338
3.96,59.6,0.344
4.03,59.7,0.351
4.05,58.7,0.352
4.07,57.6,0.354
4.09,56.2,0.355
4.1,53.2,0.356
4.1,52.1,0.357
4.11,53.3,0.358
4.17,54.1,0.363
4.23,54.6,0.368
4.3,54.7,0.374
4.36,55.4,0.379
4.44,55.6,0.386
4.51,55.8,0.392
4.58,56,0.398
4.65,56,0.405
4.72,56.4,0.41
4.79,56.7,0.417
4.86,57,0.423
4.93,56.8,0.429
5,56.9,0.435
5.07,56.6,0.441
5.08,54.4,0.442
5.09,52.1,0.443
5.18,45.5,0.451
5.31,46.2,0.462
5.44,46.6,0.473
5.58,47,0.485
5.72,47.2,0.497
5.86,47.2,0.51
6,46.8,0.521
6.11,46.1,0.531
6.12,38,0.533
6.14,36.9,0.534
6.15,31.3,0.535
6.19,30.2,0.538
6.2,29,0.539
6.32,26.9,0.549
6.38,27.9,0.555
6.52,28.3,0.567
6.65,28.8,0.579
6.8,28.7,0.591
6.93,28.8,0.603
7.07,28.6,0.615
7.16,27.7,0.623
7.2,26.4,0.626
7.23,20.1,0.629
7.24,18.8,0.63
7.26,16.7,0.632
7.33,17.4,0.637
7.43,18.2,0.646
7.57,18.1,0.659
7.69,18.7,0.669
7.84,18.7,0.682
7.98,18.9,0.694
8.12,19,0.706
8.24,18.4,0.716
8.26,17.1,0.719
8.28,12,0.72
8.38,13.6,0.729
8.53,13.5,0.742
8.67,13.9,0.754
8.81,13.9,0.766
8.94,14.3,0.777
9.08,14.2,0.79
9.22,14.4,0.802
9.29,13.4,0.808
9.32,10.1,0.811
