Test unit,C1
Reference,Silva et al. (2014)
-3.620000,-110.700000,-0.268000
-3.640000,-112.100000,-0.270000
-3.610000,-113.400000,-0.268000
-3.620000,-114.300000,-0.268000
-3.600000,-116.300000,-0.267000
-3.590000,-117.700000,-0.266000
-3.560000,-118.900000,-0.264000
-3.490000,-119.000000,-0.259000
-3.440000,-118.500000,-0.254000
-3.360000,-118.400000,-0.249000
-3.300000,-117.600000,-0.244000
-3.230000,-117.600000,-0.239000
-3.170000,-116.700000,-0.235000
-3.110000,-116.300000,-0.230000
-3.040000,-115.500000,-0.225000
-2.980000,-114.900000,-0.221000
-2.920000,-114.000000,-0.217000
-2.860000,-113.500000,-0.212000
-2.800000,-112.800000,-0.207000
-2.750000,-112.100000,-0.203000
-2.700000,-111.000000,-0.200000
-2.650000,-110.200000,-0.196000
-2.590000,-109.100000,-0.192000
-2.550000,-100.300000,-0.189000
-2.580000,-101.900000,-0.191000
-2.570000,-103.400000,-0.191000
-2.590000,-105.000000,-0.192000
-2.600000,-106.500000,-0.193000
-2.610000,-107.900000,-0.194000
-2.600000,-109.400000,-0.193000
-2.550000,-108.500000,-0.189000
-2.560000,-106.600000,-0.190000
-2.560000,-108.100000,-0.189000
-2.560000,-109.500000,-0.189000
-2.530000,-112.200000,-0.188000
-2.480000,-113.100000,-0.184000
-2.420000,-112.300000,-0.179000
-2.330000,-111.800000,-0.173000
-2.270000,-111.200000,-0.168000
-2.220000,-110.300000,-0.165000
-2.170000,-109.300000,-0.161000
-2.090000,-108.700000,-0.155000
-2.060000,-107.700000,-0.152000
-2.030000,-106.500000,-0.151000
-1.990000,-105.400000,-0.148000
-2.030000,-102.500000,-0.151000
-1.950000,-106.900000,-0.144000
-1.550000,-95.000000,-0.115000
-1.540000,-96.800000,-0.114000
-1.540000,-102.200000,-0.114000
-1.550000,-97.800000,-0.115000
-1.540000,-103.300000,-0.114000
-1.520000,-100.100000,-0.113000
-1.510000,-104.300000,-0.111000
-1.410000,-104.400000,-0.105000
-1.380000,-103.900000,-0.102000
-1.060000,-84.800000,-0.078000
-1.080000,-92.000000,-0.080000
-1.070000,-93.800000,-0.079000
-1.030000,-91.100000,-0.076000
-0.800000,-90.700000,-0.060000
-0.680000,-71.900000,-0.050000
-0.620000,-71.900000,-0.046000
-0.650000,-71.800000,-0.048000
-0.590000,-72.000000,-0.043000
-0.660000,-74.100000,-0.049000
-0.650000,-78.100000,-0.048000
-0.660000,-79.700000,-0.049000
-0.600000,-78.600000,-0.044000
-0.650000,-77.800000,-0.048000
-0.570000,-79.100000,-0.042000
-0.630000,-78.800000,-0.047000
-0.570000,-78.200000,-0.043000
-0.590000,-77.000000,-0.044000
-0.570000,-74.600000,-0.042000
-0.520000,-71.200000,-0.038000
-0.500000,-67.200000,-0.037000
-0.430000,-62.200000,-0.032000
-0.340000,-55.400000,-0.025000
-0.250000,-43.700000,-0.018000
-0.090000,-27.300000,-0.006000
0.050000,-9.800000,0.004000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
-0.070000,9.400000,-0.005000
0.060000,18.700000,0.004000
0.110000,23.400000,0.008000
0.090000,26.700000,0.007000
0.110000,28.500000,0.008000
0.130000,32.900000,0.010000
0.100000,35.100000,0.008000
0.290000,41.800000,0.021000
0.230000,43.300000,0.017000
0.320000,48.300000,0.023000
0.300000,51.500000,0.022000
0.360000,54.800000,0.027000
0.440000,61.800000,0.033000
0.490000,69.800000,0.036000
0.620000,73.200000,0.046000
0.710000,73.900000,0.053000
1.010000,87.000000,0.075000
1.120000,87.200000,0.083000
1.130000,89.500000,0.084000
1.480000,93.800000,0.110000
1.490000,93.600000,0.111000
1.500000,90.400000,0.111000
1.510000,93.700000,0.112000
1.710000,99.900000,0.127000
1.850000,100.800000,0.137000
1.870000,99.500000,0.139000
1.930000,99.800000,0.143000
1.980000,100.900000,0.146000
2.030000,100.600000,0.150000
2.050000,102.100000,0.152000
2.110000,102.800000,0.157000
2.170000,102.800000,0.161000
2.190000,101.400000,0.162000
2.190000,102.700000,0.163000
2.250000,103.100000,0.166000
2.290000,104.100000,0.170000
2.330000,104.800000,0.173000
2.390000,105.700000,0.177000
2.440000,105.800000,0.181000
2.490000,106.700000,0.184000
2.530000,107.600000,0.188000
2.580000,107.100000,0.191000
2.610000,108.200000,0.193000
2.660000,108.800000,0.197000
2.710000,109.200000,0.201000
2.780000,109.000000,0.206000
2.840000,109.600000,0.210000
2.880000,109.000000,0.213000
2.890000,107.500000,0.214000
2.900000,106.000000,0.215000
2.960000,109.400000,0.219000
3.010000,110.000000,0.223000
3.060000,109.500000,0.227000
3.120000,110.400000,0.231000
3.180000,111.000000,0.235000
3.230000,110.700000,0.239000
3.280000,111.400000,0.243000
3.340000,111.800000,0.247000
3.400000,111.700000,0.252000
3.460000,112.000000,0.256000
3.510000,111.700000,0.260000
3.570000,111.900000,0.265000
3.580000,110.500000,0.266000
3.590000,109.000000,0.266000
3.650000,108.100000,0.270000
3.700000,108.700000,0.274000
3.760000,109.100000,0.278000
3.820000,109.300000,0.283000
3.890000,109.700000,0.288000
3.940000,109.900000,0.292000
3.980000,110.100000,0.295000
4.050000,110.400000,0.300000
4.110000,110.900000,0.304000
4.170000,111.000000,0.309000
4.190000,109.700000,0.310000
4.220000,111.000000,0.313000
4.250000,109.700000,0.315000
4.250000,108.200000,0.315000
4.260000,109.700000,0.316000
4.270000,108.100000,0.316000
4.350000,107.100000,0.322000
4.420000,107.700000,0.328000
4.520000,107.700000,0.334000
4.590000,108.200000,0.340000
4.680000,108.100000,0.347000
4.770000,108.000000,0.353000
4.860000,108.000000,0.360000
4.910000,107.000000,0.364000
4.980000,97.100000,0.369000
5.070000,97.300000,0.376000
5.170000,97.300000,0.383000
5.270000,97.500000,0.390000
5.360000,98.000000,0.397000
5.450000,98.100000,0.404000
5.560000,98.200000,0.412000
5.650000,98.300000,0.419000
5.750000,98.400000,0.426000
5.850000,98.400000,0.433000
5.940000,98.700000,0.440000
6.040000,98.900000,0.447000
6.130000,98.500000,0.454000
6.220000,99.000000,0.460000
6.310000,98.600000,0.467000
6.400000,98.700000,0.474000
6.480000,98.000000,0.480000
6.560000,98.800000,0.486000
6.610000,97.600000,0.490000
6.650000,96.400000,0.492000
6.660000,95.000000,0.493000
6.660000,93.700000,0.494000
