Test unit,PS_1
Reference,Costa et al. (2011)
4.810000,37.000000,0.245000
5.010000,37.600000,0.255000
5.210000,38.100000,0.266000
5.500000,38.700000,0.281000
5.870000,39.300000,0.299000
5.940000,39.400000,0.303000
5.980000,35.500000,0.305000
6.110000,38.100000,0.312000
6.220000,38.300000,0.317000
6.270000,38.000000,0.320000
6.290000,37.100000,0.321000
6.490000,38.000000,0.331000
6.550000,37.600000,0.334000
6.600000,37.400000,0.337000
6.950000,38.400000,0.355000
7.340000,39.300000,0.374000
7.340000,39.300000,0.374000
8.070000,40.400000,0.412000
8.420000,40.700000,0.430000
8.820000,40.900000,0.450000
8.820000,40.900000,0.450000
9.670000,41.100000,0.493000
9.790000,39.200000,0.500000
10.160000,36.400000,0.518000
10.160000,36.400000,0.518000
10.580000,36.300000,0.540000
10.930000,36.700000,0.558000
11.560000,37.200000,0.590000
11.560000,37.200000,0.590000
11.980000,37.400000,0.611000
12.350000,37.800000,0.630000
12.350000,37.800000,0.630000
12.790000,37.900000,0.652000
13.190000,38.100000,0.673000
13.190000,38.100000,0.673000
13.670000,38.200000,0.697000
14.090000,38.300000,0.719000
14.090000,38.300000,0.719000
14.530000,38.400000,0.741000
14.990000,38.600000,0.765000
14.990000,38.600000,0.765000
15.340000,38.700000,0.782000
15.500000,38.300000,0.791000
15.610000,36.600000,0.797000
15.890000,37.100000,0.811000
16.070000,37.200000,0.820000
16.180000,37.200000,0.826000
16.250000,36.400000,0.829000
16.310000,34.500000,0.832000
17.240000,35.400000,0.880000
17.240000,35.400000,0.880000
18.010000,35.800000,0.919000
18.440000,36.000000,0.941000
18.860000,36.300000,0.962000
19.590000,36.300000,1.000000
20.030000,36.400000,1.022000
20.340000,36.100000,1.038000
20.400000,34.100000,1.041000
20.420000,33.000000,1.042000
20.420000,33.000000,1.042000
20.550000,33.100000,1.048000
20.650000,32.900000,1.054000
20.680000,32.100000,1.055000
21.040000,32.300000,1.074000
21.450000,32.700000,1.094000
21.870000,33.000000,1.116000
22.380000,33.200000,1.142000
22.380000,33.200000,1.142000
22.690000,33.400000,1.158000
23.020000,33.700000,1.175000
23.020000,33.700000,1.175000
23.760000,33.900000,1.212000
23.760000,33.900000,1.212000
23.890000,32.300000,1.219000
