Test unit,PA1NR
Reference,Silva et al. (2012)
3.09,18.1,0.193
3.26,21.5,0.204
3.52,22.1,0.22
3.71,22.5,0.232
3.92,22.9,0.245
3.96,22.9,0.247
3.99,22.7,0.249
4,21.9,0.25
4.02,21.7,0.252
4.05,21.1,0.253
4.06,22.3,0.254
4.08,22.1,0.255
4.09,21.9,0.256
4.2,25.3,0.262
4.21,25.4,0.263
4.49,25.9,0.281
4.66,26.3,0.291
4.67,26.3,0.292
4.91,26.7,0.307
4.96,26.7,0.31
4.99,26.5,0.312
5.02,25.2,0.314
5.04,24.9,0.315
5.05,24.7,0.316
5.2,29.3,0.325
5.43,29.7,0.34
5.66,30,0.354
5.88,30.3,0.368
5.95,30.2,0.372
6.06,29.5,0.378
6.07,29.4,0.379
6.11,31.6,0.382
6.31,31.8,0.394
6.34,31.8,0.396
6.58,31.6,0.411
6.81,32.2,0.426
6.87,32.2,0.43
6.99,31.9,0.437
7.02,31.8,0.439
7.04,30.8,0.44
7.07,31.8,0.442
7.2,33.4,0.45
7.4,33.8,0.462
7.41,33.8,0.463
7.63,34,0.477
7.87,34.2,0.492
7.93,34.1,0.496
8,33.4,0.5
8.1,33.2,0.506
8.22,34.2,0.514
8.45,34.4,0.528
8.73,34.7,0.546
8.98,34.9,0.561
9.03,34.8,0.564
9.05,34.7,0.566
9.08,31.4,0.568
9.15,33.4,0.572
9.42,33.8,0.589
9.69,34,0.606
9.94,34.4,0.621
10,34.3,0.625
10.02,34.2,0.626
10.11,33.8,0.632
10.3,35,0.644
10.59,35.2,0.662
10.9,35.4,0.682
10.97,35.2,0.686
10.99,34.6,0.687
11.01,34.4,0.688
11.07,34.1,0.692
11.18,35.7,0.699
11.47,35.9,0.717
11.72,36,0.733
11.75,36,0.734
12.03,35.8,0.752
12.06,35.7,0.754
12.07,35.6,0.755
12.12,35.2,0.757
12.38,31.2,0.774
12.72,31.7,0.795
12.99,32,0.812
13.03,31.9,0.815
13.06,31.7,0.816
13.07,31.4,0.817
13.09,34.7,0.818
13.43,34.9,0.839
13.74,35,0.859
13.76,35,0.86
14,34.8,0.875
14.04,34.6,0.877
14.05,35.3,0.878
14.08,33.4,0.88
