Test unit,T1-2
Reference,Faella et al. (1992)
1.48,56.4,0.118
1.49,56.7,0.119
1.6,57.3,0.128
1.7,59.2,0.136
1.8,61,0.144
1.87,61.7,0.15
1.94,62.3,0.155
1.98,62.6,0.158
2,62.6,0.16
2.01,62,0.161
2.02,60.4,0.162
2.08,60.1,0.166
2.19,62.9,0.176
2.32,63.9,0.186
2.41,65.1,0.193
2.48,65.7,0.199
2.53,66.1,0.202
2.55,65.7,0.204
2.58,62.6,0.206
2.73,65.1,0.218
2.85,66.4,0.228
2.92,67,0.234
2.99,67.9,0.239
3.03,67.9,0.242
3.04,67.3,0.243
3.05,64.2,0.244
3.1,67.3,0.248
3.25,68.9,0.26
3.38,69.5,0.271
3.47,70.1,0.278
3.54,70.1,0.284
3.62,66.1,0.29
3.77,67.3,0.301
3.89,68.6,0.311
3.97,69.2,0.318
4.04,69.2,0.323
4.06,68.9,0.325
4.16,65.7,0.333
4.33,67,0.346
4.44,68.2,0.355
4.51,67.9,0.361
4.55,68.2,0.364
4.56,67.3,0.365
4.58,64.8,0.367
4.78,66.4,0.382
4.9,67,0.392
5.01,67.6,0.401
5.05,67.3,0.404
5.06,67,0.405
5.07,65.1,0.406
5.27,65.7,0.421
5.4,67,0.432
5.49,67.6,0.439
5.57,67.3,0.445
5.71,65.4,0.457
5.87,66.7,0.469
6,67.3,0.48
6.06,67.3,0.485
6.08,67,0.487
6.22,65.1,0.498
6.38,66.4,0.51
6.5,66.7,0.52
6.55,67,0.524
6.56,65.7,0.525
6.6,64.5,0.528
6.8,65.7,0.544
6.95,66.4,0.556
7.02,66.1,0.562
7.04,65.4,0.564
7.13,63.6,0.57
7.32,65.1,0.586
7.46,65.7,0.597
7.55,66.1,0.604
7.56,65.4,0.605
7.62,62.9,0.61
7.84,64.2,0.627
7.98,65.1,0.638
8.05,65.4,0.644
8.06,64.5,0.645
8.07,61.7,0.646
8.08,62.3,0.647
8.32,62.9,0.666
8.47,63.6,0.678
8.54,64.2,0.684
8.57,62,0.685
8.79,62.3,0.703
8.96,62.9,0.717
9.04,63.6,0.723
9.05,62.6,0.724
9.06,62,0.725
