Test unit,SW.250.1
Reference,Lourenço et al. (2005)
20.23,71.4,2.023
20.3,71.8,2.03
20.45,72,2.045
20.53,72.6,2.053
20.53,73.4,2.053
20.61,73.8,2.061
20.61,74.2,2.061
20.68,74.6,2.068
20.8,73.4,2.08
20.91,72.2,2.091
20.98,72.2,2.098
21.14,71.8,2.114
21.29,71.4,2.129
21.44,71.4,2.144
21.67,71.8,2.167
21.82,72.2,2.182
21.97,73,2.197
22.12,73.8,2.212
22.2,74.2,2.22
22.27,74.2,2.227
22.35,73.8,2.235
22.42,72.6,2.242
22.58,71.8,2.258
22.65,71.4,2.265
22.73,71.4,2.273
22.8,72.2,2.28
22.95,72.6,2.295
23.03,73,2.303
23.11,73,2.311
23.18,72.6,2.318
23.41,71.8,2.341
23.71,71,2.371
24.09,70.6,2.409
24.24,70.6,2.424
24.39,71,2.439
24.55,71.4,2.455
24.7,71.4,2.47
24.85,71,2.485
25.08,70.6,2.508
25.45,69.8,2.545
25.76,69,2.576
25.98,69,2.598
26.21,69,2.621
26.44,69.8,2.644
26.59,70.6,2.659
26.82,71.4,2.682
26.97,72.2,2.697
27.12,72.2,2.712
27.27,72.2,2.727
27.65,71.4,2.765
28.11,70.6,2.811
28.56,69.4,2.856
29.09,68.2,2.909
29.62,66.6,2.962
