Test unit,T2-2
Reference,Faella et al. (1992)
2.54,154,0.203
2.58,154.3,0.206
2.59,154,0.207
2.6,151.5,0.208
2.73,152.5,0.218
2.86,156.2,0.229
2.97,157.8,0.237
3.03,159.7,0.242
3.08,160.3,0.247
3.1,160,0.248
3.23,157.5,0.259
3.37,160.9,0.27
3.48,162.8,0.278
3.54,163.7,0.284
3.6,164,0.288
3.61,162.8,0.289
3.76,160.3,0.301
3.89,162.8,0.311
4,164.7,0.32
4.07,165.6,0.325
4.1,165.3,0.328
4.11,155.6,0.329
4.25,158.7,0.34
4.4,160.9,0.352
4.51,162.8,0.361
4.58,163.4,0.367
4.6,161.5,0.368
4.61,159,0.369
4.75,154.7,0.38
4.91,157.5,0.393
5.03,159.3,0.403
5.11,159.7,0.409
5.13,159.3,0.41
5.14,151.2,0.411
5.25,153.1,0.42
5.41,156.2,0.433
5.54,157.5,0.443
5.6,157.8,0.448
5.62,156.8,0.45
5.72,150.6,0.457
5.91,153.4,0.473
6.04,155,0.483
6.11,155.6,0.489
6.13,154.3,0.491
6.31,149,0.504
6.48,151.2,0.518
6.57,151.8,0.526
6.63,151.5,0.53
6.64,143.1,0.531
6.65,143.7,0.532
6.85,146.5,0.548
7,147.1,0.56
7.1,148.1,0.568
7.12,147.1,0.57
7.36,141.2,0.588
7.53,142.8,0.602
7.61,142.8,0.609
7.64,141.8,0.612
