Test unit,T1-1
Reference,Faella et al. (1992)
1.08,47,0.087
1.18,49.8,0.094
1.26,51.7,0.101
1.36,53.2,0.109
1.42,54.2,0.114
1.49,55.4,0.119
1.53,55.4,0.122
1.56,55.7,0.125
1.6,55.7,0.128
1.72,63.6,0.138
1.84,64.5,0.147
1.93,64.5,0.154
2,64.8,0.16
2.07,64.5,0.165
2.1,64.2,0.168
2.13,64.2,0.17
2.14,59.8,0.171
2.19,62,0.176
2.33,63.6,0.187
2.45,64.5,0.196
2.54,65.1,0.203
2.6,65.4,0.208
2.63,65.4,0.211
2.67,65.1,0.213
2.68,60.4,0.214
2.74,63.6,0.219
2.89,64.5,0.231
3,64.8,0.24
3.09,65.4,0.248
3.16,65.7,0.253
3.19,65.4,0.255
3.2,65.1,0.256
3.25,60.7,0.26
3.42,62.3,0.273
3.53,63.2,0.283
3.63,63.9,0.29
3.68,64.2,0.295
3.72,64.2,0.297
3.85,61,0.308
3.99,62.3,0.319
4.11,63.2,0.329
4.19,63.6,0.335
4.23,63.9,0.338
4.39,60.7,0.351
4.53,62,0.362
4.64,62.3,0.371
4.7,62.6,0.376
4.72,62,0.378
4.73,57.9,0.379
4.9,60.4,0.392
5.04,61.4,0.403
5.15,61.7,0.412
5.21,62,0.417
5.22,61.4,0.418
5.31,58.9,0.425
5.49,60.1,0.439
5.61,60.7,0.449
5.69,61,0.455
5.72,60.7,0.457
5.8,57.6,0.464
5.99,58.5,0.479
6.11,59.2,0.489
6.19,59.2,0.495
6.21,58.5,0.497
6.3,55.4,0.504
6.48,56.7,0.518
6.62,57.3,0.529
6.69,57.6,0.535
6.72,57,0.538
6.84,54.5,0.547
7.01,55.4,0.561
7.14,55.7,0.571
7.19,55.4,0.576
7.37,53.5,0.589
7.55,54.2,0.604
7.67,54.5,0.613
7.71,54.2,0.617
7.79,51.7,0.624
8.01,52.6,0.641
8.21,52.6,0.657
8.22,51.3,0.658
8.35,50.4,0.668
8.57,51,0.685
8.72,51.3,0.697
8.78,51,0.702
8.79,49.8,0.703
8.88,48.2,0.71
9.09,48.8,0.727
9.23,49.2,0.738
9.29,48.8,0.743
9.5,47,0.76
9.71,47.3,0.777
9.82,47.6,0.785
9.86,46.6,0.789
